,index,name,x_coord,y_midpoint,geometry,orig_length,orig_geom,masked_geom,masked_length,hull_trimmed,trimmed_length,frac_to_frac_length,p10_frac,p10_trimmed
45,45,scan_v1_seg_46,0.38954650419810866,-4.55457842958028,"LINESTRING Z (0.3895465041981087 -5.054578429580278 0, 0.3895465041981087 -4.054578429580282 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -5.054578429580278, 0.3895465041981087 -4.054578429580282)","LINESTRING Z (0.3895465041981087 -5.054578429580278 0, 0.3895465041981087 -4.054578429580282 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -5.054578429580278 0, 0.3895465041981087 -4.054578429580282 0)",0.9999999999999964,,,0.0
46,46,scan_v1_seg_47,0.38954650419810866,-4.45457842958028,"LINESTRING Z (0.3895465041981087 -4.954578429580279 0, 0.3895465041981087 -3.954578429580282 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.954578429580279, 0.3895465041981087 -3.954578429580282)","LINESTRING Z (0.3895465041981087 -4.954578429580279 0, 0.3895465041981087 -3.954578429580282 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.954578429580279 0, 0.3895465041981087 -3.954578429580282 0)",0.9999999999999964,,,0.0
47,47,scan_v1_seg_48,0.38954650419810866,-4.354578429580281,"LINESTRING Z (0.3895465041981087 -4.854578429580279 0, 0.3895465041981087 -3.854578429580283 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.854578429580279, 0.3895465041981087 -3.854578429580283)","LINESTRING Z (0.3895465041981087 -4.854578429580279 0, 0.3895465041981087 -3.854578429580283 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.854578429580279 0, 0.3895465041981087 -3.854578429580283 0)",0.9999999999999964,,,0.0
48,48,scan_v1_seg_49,0.38954650419810866,-4.254578429580281,"LINESTRING Z (0.3895465041981087 -4.754578429580279 0, 0.3895465041981087 -3.754578429580283 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.754578429580279, 0.3895465041981087 -3.754578429580283)","LINESTRING Z (0.3895465041981087 -4.754578429580279 0, 0.3895465041981087 -3.754578429580283 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.754578429580279 0, 0.3895465041981087 -3.754578429580283 0)",0.9999999999999964,,,0.0
49,49,scan_v1_seg_50,0.38954650419810866,-4.1545784295802815,"LINESTRING Z (0.3895465041981087 -4.65457842958028 0, 0.3895465041981087 -3.654578429580283 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.65457842958028, 0.3895465041981087 -3.654578429580283)","LINESTRING Z (0.3895465041981087 -4.65457842958028 0, 0.3895465041981087 -3.654578429580283 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.65457842958028 0, 0.3895465041981087 -3.654578429580283 0)",0.9999999999999964,,,0.0
50,50,scan_v1_seg_51,0.38954650419810866,-4.054578429580282,"LINESTRING Z (0.3895465041981087 -4.55457842958028 0, 0.3895465041981087 -3.554578429580284 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.55457842958028, 0.3895465041981087 -3.554578429580284)","LINESTRING Z (0.3895465041981087 -4.55457842958028 0, 0.3895465041981087 -3.554578429580284 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.55457842958028 0, 0.3895465041981087 -3.554578429580284 0)",0.9999999999999964,,,0.0
51,51,scan_v1_seg_52,0.38954650419810866,-3.954578429580282,"LINESTRING Z (0.3895465041981087 -4.45457842958028 0, 0.3895465041981087 -3.454578429580284 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.45457842958028, 0.3895465041981087 -3.454578429580284)","LINESTRING Z (0.3895465041981087 -4.45457842958028 0, 0.3895465041981087 -3.454578429580284 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.45457842958028 0, 0.3895465041981087 -3.454578429580284 0)",0.9999999999999964,,,0.0
52,52,scan_v1_seg_53,0.38954650419810866,-3.8545784295802825,"LINESTRING Z (0.3895465041981087 -4.354578429580281 0, 0.3895465041981087 -3.354578429580284 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.354578429580281, 0.3895465041981087 -3.354578429580284)","LINESTRING Z (0.3895465041981087 -4.354578429580281 0, 0.3895465041981087 -3.354578429580284 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.354578429580281 0, 0.3895465041981087 -3.354578429580284 0)",0.9999999999999964,,,0.0
53,53,scan_v1_seg_54,0.38954650419810866,-3.754578429580283,"LINESTRING Z (0.3895465041981087 -4.254578429580281 0, 0.3895465041981087 -3.254578429580285 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.254578429580281, 0.3895465041981087 -3.254578429580285)","LINESTRING Z (0.3895465041981087 -4.254578429580281 0, 0.3895465041981087 -3.254578429580285 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.254578429580281 0, 0.3895465041981087 -3.254578429580285 0)",0.9999999999999964,,,0.0
54,54,scan_v1_seg_55,0.38954650419810866,-3.6545784295802832,"LINESTRING Z (0.3895465041981087 -4.154578429580281 0, 0.3895465041981087 -3.154578429580285 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.154578429580281, 0.3895465041981087 -3.154578429580285)","LINESTRING Z (0.3895465041981087 -4.154578429580281 0, 0.3895465041981087 -3.154578429580285 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.154578429580281 0, 0.3895465041981087 -3.154578429580285 0)",0.9999999999999964,,,0.0
55,55,scan_v1_seg_56,0.38954650419810866,-3.5545784295802836,"LINESTRING Z (0.3895465041981087 -4.054578429580282 0, 0.3895465041981087 -3.054578429580285 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -4.054578429580282, 0.3895465041981087 -3.054578429580285)","LINESTRING Z (0.3895465041981087 -4.054578429580282 0, 0.3895465041981087 -3.054578429580285 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -4.054578429580282 0, 0.3895465041981087 -3.054578429580285 0)",0.9999999999999964,,,0.0
56,56,scan_v1_seg_57,0.38954650419810866,-3.454578429580284,"LINESTRING Z (0.3895465041981087 -3.954578429580282 0, 0.3895465041981087 -2.954578429580286 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -3.954578429580282, 0.3895465041981087 -2.954578429580286)","LINESTRING Z (0.3895465041981087 -3.954578429580282 0, 0.3895465041981087 -2.954578429580286 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -3.954578429580282 0, 0.3895465041981087 -2.954578429580286 0)",0.9999999999999964,,,0.0
57,57,scan_v1_seg_58,0.38954650419810866,-3.3545784295802843,"LINESTRING Z (0.3895465041981087 -3.854578429580283 0, 0.3895465041981087 -2.854578429580286 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -3.854578429580283, 0.3895465041981087 -2.854578429580286)","LINESTRING Z (0.3895465041981087 -3.854578429580283 0, 0.3895465041981087 -2.854578429580286 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -3.854578429580283 0, 0.3895465041981087 -2.854578429580286 0)",0.9999999999999964,0.0,,1.0000000000000036
58,58,scan_v1_seg_59,0.38954650419810866,-3.2545784295802846,"LINESTRING Z (0.3895465041981087 -3.754578429580283 0, 0.3895465041981087 -2.754578429580286 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -3.754578429580283, 0.3895465041981087 -2.754578429580286)","LINESTRING Z (0.3895465041981087 -3.754578429580283 0, 0.3895465041981087 -2.754578429580286 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -3.754578429580283 0, 0.3895465041981087 -2.754578429580286 0)",0.9999999999999964,0.0,,1.0000000000000036
59,59,scan_v1_seg_60,0.38954650419810866,-3.154578429580285,"LINESTRING Z (0.3895465041981087 -3.654578429580283 0, 0.3895465041981087 -2.654578429580287 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -3.654578429580283, 0.3895465041981087 -2.654578429580287)","LINESTRING Z (0.3895465041981087 -3.654578429580283 0, 0.3895465041981087 -2.654578429580287 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -3.654578429580283 0, 0.3895465041981087 -2.654578429580287 0)",0.9999999999999964,0.0,,1.0000000000000036
